Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,10587,1,OK,0.6730877,-0.1283878,-0.7278377,-0.0268655,-20.151,135.605,-1248.957,0.3011791,4,OK,-19.962,135.57,-1249.179,OK,-68.727,146.309,-1253.176,OK,-111.868,180.826,-1261.618,OK,-157.325,140.119,-1258.207
1,Port 2: NDI 8700340  s/n:34802401,10590,1,OK,0.675613,-0.1298303,-0.7252592,-0.0262725,-20.059,135.862,-1247.914,0.2990848,4,OK,-19.872,135.824,-1248.136,OK,-68.646,146.644,-1251.796,OK,-111.79,181.228,-1259.99,OK,-157.281,140.609,-1256.16
1,Port 2: NDI 8700340  s/n:34802401,10593,1,OK,0.6776471,-0.1300681,-0.7233247,-0.0260409,-20.021,135.944,-1247.041,0.3053374,4,OK,-19.834,135.907,-1247.268,OK,-68.619,146.75,-1250.644,OK,-111.794,181.344,-1258.601,OK,-157.297,140.75,-1254.516
1,Port 2: NDI 8700340  s/n:34802401,10596,1,OK,0.6790849,-0.1312258,-0.7217684,-0.0259611,-19.937,136.229,-1246.439,0.2955512,4,OK,-19.753,136.192,-1246.651,OK,-68.524,147.129,-1249.876,OK,-111.673,181.777,-1257.656,OK,-157.239,141.293,-1253.329
1,Port 2: NDI 8700340  s/n:34802401,10599,1,OK,0.6799259,-0.1337011,-0.7205037,-0.0264413,-19.74,136.956,-1245.984,0.3208273,4,OK,-19.555,136.918,-1246.227,OK,-68.282,148.065,-1249.253,OK,-111.303,182.895,-1257.053,OK,-157.043,142.622,-1252.495
1,Port 2: NDI 8700340  s/n:34802401,10602,1,OK,0.6800755,-0.1382587,-0.7194714,-0.0272527,-19.43,138.194,-1245.913,0.3130316,4,OK,-19.241,138.152,-1246.151,OK,-67.896,149.658,-1249.163,OK,-110.65,184.827,-1257.062,OK,-156.685,144.91,-1252.225
1,Port 2: NDI 8700340  s/n:34802401,10605,1,OK,0.6799739,-0.1443011,-0.7183125,-0.0289797,-18.947,139.998,-1245.936,0.3019442,4,OK,-18.762,139.953,-1246.158,OK,-67.275,151.997,-1249.218,OK,-109.645,187.599,-1257.23,OK,-156.131,148.239,-1252.11
1,Port 2: NDI 8700340  s/n:34802401,10608,1,OK,0.6792288,-0.1531958,-0.7170532,-0.0318436,-18.229,142.656,-1246.165,0.3084736,4,OK,-18.02,142.603,-1246.385,OK,-66.352,155.453,-1249.535,OK,-108.109,191.7,-1257.822,OK,-155.269,153.194,-1252.371
1,Port 2: NDI 8700340  s/n:34802401,10611,1,OK,0.6781448,-0.1650331,-0.7153116,-0.0348277,-17.251,145.999,-1246.578,0.2987571,4,OK,-17.06,145.944,-1246.792,OK,-65.085,159.79,-1250.086,OK,-106.053,196.833,-1258.774,OK,-154.027,159.422,-1252.835
1,Port 2: NDI 8700340  s/n:34802401,10614,1,OK,0.676927,-0.1768828,-0.7133567,-0.040057,-16.021,149.801,-1247.092,0.2683592,4,OK,-15.827,149.737,-1247.253,OK,-63.496,164.757,-1250.821,OK,-103.529,202.694,-1259.724,OK,-152.44,166.555,-1253.464
