Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,29944,1,OK,0.8149641,0.1173305,-0.4571465,-0.3362799,-130.938,260.782,-1345.637,0.2766478,4,OK,-130.712,260.917,-1345.881,OK,-172.108,266.390,-1317.681,OK,-202.462,290.984,-1277.815,OK,-253.320,257.958,-1283.137
1,Port 2: NDI 8700340  s/n:34802401,29947,1,OK,0.8180444,0.1172278,-0.4561121,-0.3301860,-129.321,260.866,-1344.531,0.2514873,4,OK,-129.063,260.985,-1344.737,OK,-170.493,266.156,-1316.577,OK,-200.996,290.598,-1276.620,OK,-251.474,256.907,-1281.606
1,Port 2: NDI 8700340  s/n:34802401,29950,1,OK,0.8196669,0.1154940,-0.4568049,-0.3257862,-128.070,261.027,-1343.191,0.2686453,4,OK,-127.818,261.152,-1343.427,OK,-169.252,266.257,-1315.205,OK,-199.912,290.806,-1275.492,OK,-250.170,256.760,-1280.185
1,Port 2: NDI 8700340  s/n:34802401,29953,1,OK,0.8190301,0.1168492,-0.4587878,-0.3241137,-127.509,261.059,-1342.412,0.2843634,4,OK,-127.268,261.192,-1342.675,OK,-168.833,266.161,-1314.590,OK,-199.788,290.652,-1275.103,OK,-249.919,256.441,-1280.041
1,Port 2: NDI 8700340  s/n:34802401,29956,1,OK,0.8196136,0.1155566,-0.4583568,-0.3237118,-127.314,261.099,-1342.306,0.2845947,4,OK,-127.060,261.233,-1342.561,OK,-168.591,266.266,-1314.433,OK,-199.461,290.846,-1274.923,OK,-249.601,256.638,-1279.670
1,Port 2: NDI 8700340  s/n:34802401,29959,1,OK,0.8190187,0.1164512,-0.4591080,-0.3238322,-127.653,261.135,-1342.401,0.2881694,4,OK,-127.404,261.267,-1342.669,OK,-168.993,266.262,-1314.597,OK,-199.960,290.806,-1275.144,OK,-250.082,256.585,-1280.067
1,Port 2: NDI 8700340  s/n:34802401,29962,1,OK,0.8193218,0.1164359,-0.4586586,-0.3237078,-128.030,261.155,-1342.929,0.2727371,4,OK,-127.788,261.286,-1343.177,OK,-169.359,266.265,-1315.103,OK,-200.273,290.784,-1275.598,OK,-250.382,256.537,-1280.477
1,Port 2: NDI 8700340  s/n:34802401,29965,1,OK,0.8198965,0.1164473,-0.4572203,-0.3242828,-128.445,261.234,-1343.481,0.2736035,4,OK,-128.188,261.354,-1343.740,OK,-169.687,266.316,-1315.540,OK,-200.494,290.806,-1275.865,OK,-250.615,256.552,-1280.668
1,Port 2: NDI 8700340  s/n:34802401,29968,1,OK,0.8189135,0.1174982,-0.4593925,-0.3233164,-128.910,261.309,-1343.734,0.2709838,4,OK,-128.649,261.433,-1343.977,OK,-170.309,266.351,-1316.030,OK,-201.355,290.786,-1276.531,OK,-251.415,256.482,-1281.562
1,Port 2: NDI 8700340  s/n:34802401,29971,1,OK,0.8193353,0.1162677,-0.4585373,-0.3239060,-128.852,261.090,-1344.466,0.2917711,4,OK,-128.601,261.234,-1344.724,OK,-170.164,266.212,-1316.605,OK,-201.056,290.735,-1277.133,OK,-251.202,256.538,-1281.955
1,Port 2: NDI 8700340  s/n:34802401,29974,1,OK,0.8169024,0.1176730,-0.4613830,-0.3254986,-128.422,261.085,-1345.067,0.2686699,4,OK,-128.164,261.216,-1345.292,OK,-169.923,266.295,-1317.565,OK,-201.025,290.829,-1278.171,OK,-251.245,256.808,-1283.470
1,Port 2: NDI 8700340  s/n:34802401,29977,1,OK,0.8162738,0.1154070,-0.4600308,-0.3297726,-128.685,261.704,-1345.209,0.2752820,4,OK,-128.429,261.834,-1345.450,OK,-170.026,267.257,-1317.502,OK,-200.736,292.027,-1277.982,OK,-251.283,258.474,-1283.121
1,Port 2: NDI 8700340  s/n:34802401,29980,1,OK,0.8140208,0.1154258,-0.4627675,-0.3315016,-128.999,262.368,-1345.549,0.2598928,4,OK,-128.749,262.496,-1345.761,OK,-170.479,268.121,-1318.134,OK,-201.307,293.022,-1278.753,OK,-251.992,259.720,-1284.211
1,Port 2: NDI 8700340  s/n:34802401,29983,1,OK,0.8114857,0.1222375,-0.4662137,-0.3304447,-128.338,262.800,-1345.907,0.2603807,4,OK,-128.080,262.922,-1346.128,OK,-170.192,268.095,-1318.971,OK,-201.668,292.505,-1279.765,OK,-252.082,258.951,-1286.173
1,Port 2: NDI 8700340  s/n:34802401,29986,1,OK,0.8119995,0.1191901,-0.4650075,-0.3319919,-127.951,263.243,-1346.116,0.2534067,4,OK,-127.710,263.372,-1346.317,OK,-169.634,268.803,-1319.018,OK,-200.818,293.475,-1279.711,OK,-251.421,260.153,-1285.769
1,Port 2: NDI 8700340  s/n:34802401,29989,1,OK,0.8113580,0.1199845,-0.4653968,-0.3327277,-127.983,263.595,-1346.307,0.2706537,4,OK,-127.727,263.716,-1346.551,OK,-169.708,269.144,-1319.218,OK,-200.943,293.787,-1279.949,OK,-251.545,260.510,-1286.177
1,Port 2: NDI 8700340  s/n:34802401,29992,1,OK,0.8103837,0.1216159,-0.4672317,-0.3319373,-128.022,263.622,-1346.437,0.2707887,4,OK,-127.756,263.747,-1346.669,OK,-169.899,269.077,-1319.572,OK,-201.366,293.619,-1280.437,OK,-251.900,260.271,-1286.935
1,Port 2: NDI 8700340  s/n:34802401,29995,1,OK,0.8112879,0.1198206,-0.4661055,-0.3319648,-128.161,263.383,-1346.244,0.2597826,4,OK,-127.907,263.509,-1346.459,OK,-169.932,268.938,-1319.249,OK,-201.218,293.596,-1280.033,OK,-251.804,260.278,-1286.255
1,Port 2: NDI 8700340  s/n:34802401,29998,1,OK,0.8115257,0.1194568,-0.4656035,-0.3322191,-128.845,263.043,-1345.938,0.2694884,4,OK,-128.596,263.168,-1346.179,OK,-170.580,268.617,-1318.837,OK,-201.792,293.301,-1279.639,OK,-252.407,259.995,-1285.800
1,Port 2: NDI 8700340  s/n:34802401,30001,1,OK,0.8119407,0.1180873,-0.4653366,-0.3320685,-129.604,262.710,-1346.034,0.2603545,4,OK,-129.342,262.832,-1346.249,OK,-171.283,268.381,-1318.936,OK,-202.429,293.165,-1279.667,OK,-253.073,259.891,-1285.658
1,Port 2: NDI 8700340  s/n:34802401,30004,1,OK,0.8115834,0.1192100,-0.4657061,-0.3320229,-130.079,262.409,-1346.356,0.2776392,4,OK,-129.830,262.540,-1346.599,OK,-171.790,267.989,-1319.268,OK,-203.050,292.698,-1280.074,OK,-253.646,259.401,-1286.204
1,Port 2: NDI 8700340  s/n:34802401,30007,1,OK,0.8121267,0.1195430,-0.4644944,-0.3322720,-130.114,262.231,-1346.826,0.2679435,4,OK,-129.860,262.351,-1347.062,OK,-171.767,267.758,-1319.658,OK,-202.950,292.390,-1280.317,OK,-253.539,259.059,-1286.393
1,Port 2: NDI 8700340  s/n:34802401,30010,1,OK,0.8127946,0.1201628,-0.4636378,-0.3316109,-129.978,262.154,-1347.390,0.2928295,4,OK,-129.728,262.290,-1347.652,OK,-171.599,267.553,-1320.098,OK,-202.786,292.075,-1280.786,OK,-253.314,258.663,-1286.781
1,Port 2: NDI 8700340  s/n:34802401,30013,1,OK,0.8118288,0.1213696,-0.4640007,-0.3330266,-130.103,262.200,-1347.858,0.2549658,4,OK,-129.855,262.322,-1348.071,OK,-171.782,267.604,-1320.712,OK,-202.972,292.059,-1281.266,OK,-253.554,258.732,-1287.499
1,Port 2: NDI 8700340  s/n:34802401,30016,1,OK,0.8121942,0.1199314,-0.4630669,-0.3339554,-130.340,262.372,-1348.180,0.2792216,4,OK,-130.083,262.502,-1348.427,OK,-171.921,267.890,-1320.863,OK,-202.942,292.461,-1281.409,OK,-253.621,259.262,-1287.445
1,Port 2: NDI 8700340  s/n:34802401,30019,1,OK,0.8115174,0.1203783,-0.4639594,-0.3342009,-130.541,262.485,-1348.338,0.2636206,4,OK,-130.284,262.604,-1348.558,OK,-172.187,268.037,-1321.152,OK,-203.281,292.571,-1281.720,OK,-253.955,259.425,-1287.880
1,Port 2: NDI 8700340  s/n:34802401,30022,1,OK,0.8116188,0.1209272,-0.4632847,-0.3346922,-130.525,262.520,-1348.639,0.2698835,4,OK,-130.270,262.643,-1348.874,OK,-172.142,268.013,-1321.384,OK,-203.198,292.506,-1281.894,OK,-253.887,259.355,-1288.080
1,Port 2: NDI 8700340  s/n:34802401,30025,1,OK,0.8111199,0.1206923,-0.4643779,-0.3344712,-130.575,262.595,-1348.713,0.2758904,4,OK,-130.316,262.720,-1348.953,OK,-172.239,268.137,-1321.552,OK,-203.382,292.692,-1282.160,OK,-254.074,259.562,-1288.409
1,Port 2: NDI 8700340  s/n:34802401,30028,1,OK,0.8110422,0.1210795,-0.4644345,-0.3344413,-130.586,262.833,-1348.648,0.2698912,4,OK,-130.330,262.956,-1348.881,OK,-172.265,268.347,-1321.510,OK,-203.433,292.867,-1282.105,OK,-254.102,259.722,-1288.401
1,Port 2: NDI 8700340  s/n:34802401,30031,1,OK,0.8104101,0.1172067,-0.4658797,-0.3353419,-130.997,263.201,-1348.187,0.2772670,4,OK,-130.753,263.330,-1348.433,OK,-172.648,269.117,-1321.053,OK,-203.669,294.077,-1281.855,OK,-254.528,261.190,-1287.951
1,Port 2: NDI 8700340  s/n:34802401,30034,1,OK,0.8100052,0.1186986,-0.4665101,-0.3349188,-130.610,263.156,-1348.459,0.2608224,4,OK,-130.361,263.284,-1348.666,OK,-172.339,268.968,-1321.482,OK,-203.493,293.789,-1282.254,OK,-254.297,260.839,-1288.514
1,Port 2: NDI 8700340  s/n:34802401,30037,1,OK,0.8090066,0.1211692,-0.4681057,-0.3342205,-129.869,262.953,-1348.720,0.2594791,4,OK,-129.615,263.077,-1348.932,OK,-171.767,268.602,-1321.943,OK,-203.173,293.250,-1282.826,OK,-253.864,260.185,-1289.450
1,Port 2: NDI 8700340  s/n:34802401,30040,1,OK,0.8089072,0.1225530,-0.4692014,-0.3324154,-128.948,262.643,-1348.529,0.2620302,4,OK,-128.688,262.777,-1348.729,OK,-170.968,268.128,-1321.896,OK,-202.578,292.653,-1282.888,OK,-253.116,259.412,-1289.651
1,Port 2: NDI 8700340  s/n:34802401,30043,1,OK,0.8095800,0.1213968,-0.4684920,-0.3322021,-128.385,262.416,-1348.215,0.2785270,4,OK,-128.118,262.547,-1348.450,OK,-170.317,267.949,-1321.452,OK,-201.856,292.562,-1282.439,OK,-252.426,259.299,-1289.026
1,Port 2: NDI 8700340  s/n:34802401,30046,1,OK,0.8095621,0.1206850,-0.4687501,-0.3321411,-128.308,262.148,-1348.077,0.2727499,4,OK,-128.036,262.276,-1348.302,OK,-170.245,267.749,-1321.338,OK,-201.756,292.430,-1282.337,OK,-252.346,259.192,-1288.877
1,Port 2: NDI 8700340  s/n:34802401,30049,1,OK,0.8090449,0.1193291,-0.4695022,-0.3328284,-128.592,261.843,-1348.290,0.2646312,4,OK,-128.339,261.977,-1348.499,OK,-170.530,267.617,-1321.588,OK,-201.974,292.459,-1282.671,OK,-252.677,259.360,-1289.165
1,Port 2: NDI 8700340  s/n:34802401,30052,1,OK,0.8093125,0.1200076,-0.4688873,-0.3328005,-128.917,261.567,-1348.606,0.2767038,4,OK,-128.652,261.696,-1348.842,OK,-170.841,267.260,-1321.837,OK,-202.294,292.023,-1282.878,OK,-252.949,258.876,-1289.395
1,Port 2: NDI 8700340  s/n:34802401,30055,1,OK,0.8092183,0.1185062,-0.4687839,-0.3337120,-129.542,261.414,-1348.665,0.2676345,4,OK,-129.284,261.543,-1348.884,OK,-171.407,267.269,-1321.876,OK,-202.743,292.183,-1282.882,OK,-253.507,259.172,-1289.284
1,Port 2: NDI 8700340  s/n:34802401,30058,1,OK,0.8094630,0.1180956,-0.4682494,-0.3340144,-129.851,261.234,-1348.989,0.2770888,4,OK,-129.609,261.367,-1349.233,OK,-171.672,267.105,-1322.088,OK,-202.934,292.058,-1283.113,OK,-253.722,259.067,-1289.450
1,Port 2: NDI 8700340  s/n:34802401,30061,1,OK,0.8090515,0.1190647,-0.4690696,-0.3335160,-129.962,261.141,-1349.305,0.2596023,4,OK,-129.714,261.263,-1349.520,OK,-171.850,266.958,-1322.564,OK,-203.259,291.826,-1283.572,OK,-253.976,258.781,-1290.059
1,Port 2: NDI 8700340  s/n:34802401,30064,1,OK,0.8099271,0.1170899,-0.4686084,-0.3327374,-129.833,261.147,-1349.533,0.2704344,4,OK,-129.580,261.273,-1349.761,OK,-171.655,267.059,-1322.677,OK,-202.953,292.069,-1283.733,OK,-253.689,259.006,-1289.943
1,Port 2: NDI 8700340  s/n:34802401,30067,1,OK,0.8104038,0.1176878,-0.4679849,-0.3322428,-129.436,261.112,-1349.948,0.2741149,4,OK,-129.174,261.242,-1350.184,OK,-171.255,266.914,-1323.045,OK,-202.547,291.864,-1284.043,OK,-253.234,258.692,-1290.249
1,Port 2: NDI 8700340  s/n:34802401,30070,1,OK,0.8109301,0.1157785,-0.4676782,-0.3320614,-129.342,261.138,-1350.526,0.2812813,4,OK,-129.065,261.273,-1350.753,OK,-171.091,267.074,-1323.567,OK,-202.271,292.159,-1284.573,OK,-253.030,259.051,-1290.522
1,Port 2: NDI 8700340  s/n:34802401,30073,1,OK,0.8107882,0.1145761,-0.4688415,-0.3311836,-129.353,261.269,-1350.759,0.2738284,4,OK,-129.093,261.399,-1350.983,OK,-171.139,267.312,-1323.868,OK,-202.371,292.520,-1285.026,OK,-253.114,259.398,-1290.933
1,Port 2: NDI 8700340  s/n:34802401,30076,1,OK,0.8112387,0.1137315,-0.4702314,-0.3283890,-129.196,261.422,-1351.223,0.2750018,4,OK,-128.949,261.556,-1351.454,OK,-171.058,267.442,-1324.414,OK,-202.444,292.732,-1285.797,OK,-253.057,259.388,-1291.635
1,Port 2: NDI 8700340  s/n:34802401,30079,1,OK,0.8131790,0.1062373,-0.4742354,-0.3202411,-129.382,262.204,-1351.349,0.2757675,4,OK,-129.119,262.327,-1351.589,OK,-171.321,268.559,-1324.770,OK,-202.953,294.540,-1286.745,OK,-253.343,260.715,-1291.916
1,Port 2: NDI 8700340  s/n:34802401,30082,1,OK,0.8153492,0.0942811,-0.4792529,-0.3108591,-130.602,263.671,-1351.696,0.2842828,4,OK,-130.359,263.787,-1351.957,OK,-172.550,270.696,-1325.316,OK,-204.351,297.743,-1288.196,OK,-254.586,263.561,-1292.299
